SBOID;SAID;DescriptionDE;DescriptionFR;DescriptionIT;DescriptionEN;AbbreviationDE;AbbreviationFR;AbbreviationIT;AbbreviationEN;OrganisationNumber;ContactEnterpriseMail;validFrom;validTo;types
ch:1:sboid:100424;100424;Schifffahrt am Rheinfall;Schifffahrt am Rheinfall;Schifffahrt am Rheinfall;Schifffahrt am Rheinfall;SaR;SaR;SaR;SaR;503;;1900-01-01;2099-12-31;95
ch:1:sboid:100020;100020;Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);Aare Seeland mobil (bti);ASM-bti;ASM-bti;ASM-bti;ASM-bti;38;;1900-01-01;2099-12-31;10
ch:1:sboid:100027;100027;Forchbahn;Forchbahn;Forchbahn;Forchbahn;FB;FB;FB;FB;46;;1900-01-01;2099-12-31;10
ch:1:sboid:100028;100028;Lugano-Ponte Tresa;Lugano-Ponte Tresa;Lugano-Ponte Tresa;Lugano-Ponte Tresa;FLP;FLP;FLP;FLP;47;;1900-01-01;2099-12-31;10
ch:1:sboid:100030;100030;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;FART;FART;FART;FART;49;;1900-01-01;2099-12-31;10
ch:1:sboid:100036;100036;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;LEB;LEB;LEB;LEB;55;;1900-01-01;2099-12-31;10
ch:1:sboid:100037;100037;Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);ASM-rvo;ASM-rvo;ASM-rvo;ASM-rvo;56;;1900-01-01;2099-12-31;10
ch:1:sboid:100038;100038;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;HBS-agb;HBS-agb;HBS-agb;HBS-agb;57;;1900-01-01;2099-12-31;12
ch:1:sboid:100039;100039;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;HBS-agk;HBS-agk;HBS-agk;HBS-agk;58;;1900-01-01;2099-12-31;12
ch:1:sboid:100250;100250;Glaris-Rinerhorn;Glaris-Rinerhorn;Glaris-Rinerhorn;Glaris-Rinerhorn;BGR;BGR;BGR;BGR;293;;1900-01-01;2099-12-31;10
ch:1:sboid:100253;100253;Brusino-Arsizio-Serpiano;Brusino-Arsizio-Serpiano;Brusino-Arsizio-Serpiano;Brusino-Arsizio-Serpiano;FBS;FBS;FBS;FBS;296;;1900-01-01;2099-12-31;10
ch:1:sboid:100254;100254;Torrent-Bahnen Leukerbad-Albinen AG;Torrent-Bahnen Leukerbad-Albinen AG;Torrent-Bahnen Leukerbad-Albinen AG;Torrent-Bahnen Leukerbad-Albinen AG;LLAT;LLAT;LLAT;LLAT;297;;1900-01-01;2099-12-31;10
ch:1:sboid:100255;100255;Lenk Bergbahnen;Lenk Bergbahnen;Lenk Bergbahnen;Lenk Bergbahnen;LB;LB;LB;LB;298;;1900-01-01;2099-12-31;10
ch:1:sboid:100256;100256;Zermatt Bergbahnen AG;Zermatt Bergbahnen AG;Zermatt Bergbahnen AG;Zermatt Bergbahnen AG;ZBAG;ZBAG;ZBAG;ZBAG;299;;1900-01-01;2099-12-31;10
ch:1:sboid:100258;100258;Schutt Atzmännig;Schutt Atzmännig;Schutt Atzmännig;Schutt Atzmännig;SSA;SSA;SSA;SSA;301;;1900-01-01;2099-12-31;12
ch:1:sboid:100260;100260;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;BHY-lws;BHY-lws;BHY-lws;BHY-lws;303;;1900-01-01;2099-12-31;10
ch:1:sboid:100262;100262;TéléMarécottes;TéléMarécottes;TéléMarécottes;TéléMarécottes;TMSA;TMSA;TMSA;TMSA;305;;1900-01-01;2099-12-31;10
ch:1:sboid:100263;100263;Lauchernalp Bergbahnen AG;Lauchernalp Bergbahnen AG;Lauchernalp Bergbahnen AG;Lauchernalp Bergbahnen AG;LABB;LABB;LABB;LABB;306;;1900-01-01;2099-12-31;10
ch:1:sboid:100264;100264;Bergbahnen Meiringen-Hasliberg;Bergbahnen Meiringen-Hasliberg;Bergbahnen Meiringen-Hasliberg;Bergbahnen Meiringen-Hasliberg;BMH;BMH;BMH;BMH;307;;1900-01-01;2099-12-31;10
ch:1:sboid:100266;100266;Klosters-Madrisa Bergbahn;Klosters-Madrisa Bergbahn;Klosters-Madrisa Bergbahn;Klosters-Madrisa Bergbahn;KMB-bkm;KMB-bkm;KMB-bkm;KMB-bkm;309;;1900-01-01;2099-12-31;10
ch:1:sboid:100267;100267;Luftseilbahn Kalpetran-Embd;Luftseilbahn Kalpetran-Embd;Luftseilbahn Kalpetran-Embd;Luftseilbahn Kalpetran-Embd;LKE;LKE;LKE;LKE;310;;1900-01-01;2099-12-31;10
ch:1:sboid:100268;100268;Téléverbier;Téléverbier;Téléverbier;Téléverbier;TV;TV;TV;TV;311;;1900-01-01;2099-12-31;10
ch:1:sboid:100178;100178;Luftseilbahn Grächen-Hannigalp;Luftseilbahn Grächen-Hannigalp;Luftseilbahn Grächen-Hannigalp;Luftseilbahn Grächen-Hannigalp;LGH;LGH;LGH;LGH;220;;1900-01-01;2018-06-30;10
ch:1:sboid:100178;100178;Touristische Unternehmung Grächen AG;Touristische Unternehmung Grächen AG;Touristische Unternehmung Grächen AG;Touristische Unternehmung Grächen AG;TUG;TUG;TUG;TUG;220;;2018-07-01;2099-12-31;10
ch:1:sboid:101704;101704;CH-direct;;;;CH-direct;CH-direct;CH-direct;CH-direct;100;tarife@ch-direct.org;2018-05-08;2018-10-16;95
ch:1:sboid:100270;100270;Luftseilbahn Kräbel-Rigi Scheidegg AG;Luftseilbahn Kräbel-Rigi Scheidegg AG;Luftseilbahn Kräbel-Rigi Scheidegg AG;Luftseilbahn Kräbel-Rigi Scheidegg AG;LKRS;LKRS;LKRS;LKRS;313;;1900-01-01;2099-12-31;45
ch:1:sboid:100271;100271;Télécabine Vercorin-Crêt-du-Midi;Télécabine Vercorin-Crêt-du-Midi;Télécabine Vercorin-Crêt-du-Midi;Télécabine Vercorin-Crêt-du-Midi;TVCM;TVCM;TVCM;TVCM;314;;1900-01-01;2099-12-31;10
ch:1:sboid:100272;100272;Bergbahnen Hohsaas AG;Bergbahnen Hohsaas AG;Bergbahnen Hohsaas AG;Bergbahnen Hohsaas AG;BHAG;BHAG;BHAG;BHAG;315;;1900-01-01;2099-12-31;10
ch:1:sboid:100043;100043;BLS AG (mlb);BLS AG (mlb);BLS AG (mlb);BLS AG (mlb);BLS-mlb;BLS-mlb;BLS-mlb;BLS-mlb;62;;1900-01-01;2099-12-31;10
ch:1:sboid:100044;100044;Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);TMR-mo;TMR-mo;TMR-mo;TMR-mo;63;;1900-01-01;2099-12-31;10
ch:1:sboid:100058;100058;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;Sihltal-Zürich-Uetliberg-Bahn;SZU;SZU;SZU;SZU;78;;1900-01-01;2099-12-31;10
ch:1:sboid:100059;100059;BLS AG (smb);BLS AG (smb);BLS AG (smb);BLS AG (smb);BLS-smb;BLS-smb;BLS-smb;BLS-smb;79;;1900-01-01;2099-12-31;10
ch:1:sboid:100060;100060;Aare Seeland mobil (snb);Aare Seeland mobil (snb);Aare Seeland mobil (snb);Aare Seeland mobil (snb);ASM-snb;ASM-snb;ASM-snb;ASM-snb;81;;1900-01-01;2099-12-31;10
ch:1:sboid:100569;100569;Domo Swiss Express AG;;;;DSE;DSE;DSE;DSE;767;;2018-02-24;2018-07-06;30
ch:1:sboid:100848;100848;Eisenbahnen der Slowakischen Republik;Eisenbahnen der Slowakischen Republik;Eisenbahnen der Slowakischen Republik;Slovakia Railways;ZSSK;ZSSK;ZSSK;ZSSK;1056;;1900-01-01;2099-12-31;11
ch:1:sboid:100172;100172;Luftseilbahn Unterterzen-Flumserberg AG;Luftseilbahn Unterterzen-Flumserberg AG;Luftseilbahn Unterterzen-Flumserberg AG;Luftseilbahn Unterterzen-Flumserberg AG;LUFAG;LUFAG;LUFAG;LUFAG;214;;1900-01-01;2099-12-31;10
ch:1:sboid:100173;100173;Wasserauen-Ebenalp;Wasserauen-Ebenalp;Wasserauen-Ebenalp;Wasserauen-Ebenalp;LWE;LWE;LWE;LWE;215;;1900-01-01;2099-12-31;10
ch:1:sboid:100177;100177;Arosa Bergbahnen;Arosa Bergbahnen;Arosa Bergbahnen;Arosa Bergbahnen;ABB;ABB;ABB;ABB;219;;1900-01-01;2099-12-31;10
ch:1:sboid:100180;100180;Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);SMF-lsm;SMF-lsm;SMF-lsm;SMF-lsm;222;;1900-01-01;2099-12-31;10
ch:1:sboid:100182;100182;Sportbahnen Pischa;Sportbahnen Pischa;Sportbahnen Pischa;Sportbahnen Pischa;SBP;SBP;SBP;SBP;224;;1900-01-01;2099-12-31;10
ch:1:sboid:100183;100183;Bergbahnen Destination Gstaad AG;Bergbahnen Destination Gstaad AG;Bergbahnen Destination Gstaad AG;Bergbahnen Destination Gstaad AG;BDGAG;BDGAG;BDGAG;BDGAG;225;;1900-01-01;2099-12-31;10
ch:1:sboid:100439;100439;Widmer Rail Services Personal AG;Widmer Rail Services Personal AG;Widmer Rail Services Personal AG;Widmer Rail Services Personal AG;WRSPAG;WRSPAG;WRSPAG;WRSPAG;527;;1900-01-01;2099-12-31;95
ch:1:sboid:100441;100441;railCare AG;railCare AG;railCare AG;railCare AG;RLC;RLC;RLC;RLC;529;;1900-01-01;2099-12-31;95
ch:1:sboid:100442;100442;SBB-Freeway;SBB-Freeway;SBB-Freeway;SBB-Freeway;FWAY;FWAY;FWAY;FWAY;530;;1900-01-01;2099-12-31;95
ch:1:sboid:100443;100443;20 Minuten Mobile;20 Minuten Mobile;20 Minuten Mobile;20 Minuten Mobile;MIMO;MIMO;MIMO;MIMO;540;;1900-01-01;2099-12-31;95
ch:1:sboid:100444;100444;Aldi Prepaid;Aldi Prepaid;Aldi Prepaid;Aldi Prepaid;ALDI;ALDI;ALDI;ALDI;541;;1900-01-01;2099-12-31;95
ch:1:sboid:100089;100089;Parc d'Attractions du Châtelard;Parc d'Attractions du Châtelard;Parc d'Attractions du Châtelard;Parc d'Attractions du Châtelard;PAC;PAC;PAC;PAC;115;;1900-01-01;2099-12-31;10
ch:1:sboid:100092;100092;Aufzug Matte-Plattform (Bern);Aufzug Matte-Plattform (Bern);Aufzug Matte-Plattform (Bern);Aufzug Matte-Plattform (Bern);AMP;AMP;AMP;AMP;118;;1900-01-01;2099-12-31;10
ch:1:sboid:100094;100094;Giessbachbahn;Giessbachbahn;Giessbachbahn;Giessbachbahn;GbB;GbB;GbB;GbB;120;;1900-01-01;2099-12-31;10
ch:1:sboid:100095;100095;Gornergratbahn;Gornergratbahn;Gornergratbahn;Gornergratbahn;GGB;GGB;GGB;GGB;121;;1900-01-01;2099-12-31;10
ch:1:sboid:100096;100096;Gurtenbahn;Gurtenbahn;Gurtenbahn;Gurtenbahn;GB;GB;GB;GB;122;;1900-01-01;2099-12-31;10
ch:1:sboid:100097;100097;Harderbahn;Harderbahn;Harderbahn;Harderbahn;HB;HB;HB;HB;123;;1900-01-01;2099-12-31;10
ch:1:sboid:100098;100098;Jungfraubahn;Jungfraubahn;Jungfraubahn;Jungfraubahn;JB;JB;JB;JB;124;;1900-01-01;2099-12-31;10
ch:1:sboid:100185;100185;Riddes-Isérables;Riddes-Isérables;Riddes-Isérables;Riddes-Isérables;TRI;TRI;TRI;TRI;227;;1900-01-01;2099-12-31;10
ch:1:sboid:100186;100186;Kandersteg-Stock;Kandersteg-Stock;Kandersteg-Stock;Kandersteg-Stock;LKS;LKS;LKS;LKS;228;;1900-01-01;2099-12-31;10
ch:1:sboid:100187;100187;Leukerbad-Gemmipass;Leukerbad-Gemmipass;Leukerbad-Gemmipass;Leukerbad-Gemmipass;LLG;LLG;LLG;LLG;229;;1900-01-01;2099-12-31;10
ch:1:sboid:100188;100188;Savognin-Bergbahnen AG;Savognin-Bergbahnen AG;Savognin-Bergbahnen AG;Savognin-Bergbahnen AG;SB;SB;SB;SB;230;;1900-01-01;2099-12-31;10
ch:1:sboid:100189;100189;Château-d'Oex-La Braye;Château-d'Oex-La Braye;Château-d'Oex-La Braye;Château-d'Oex-La Braye;TCLB;TCLB;TCLB;TCLB;231;;1900-01-01;2099-12-31;10
ch:1:sboid:100190;100190;Rhäzüns-Feldis/Veulden;Rhäzüns-Feldis/Veulden;Rhäzüns-Feldis/Veulden;Rhäzüns-Feldis/Veulden;LRF;LRF;LRF;LRF;232;;1900-01-01;2099-12-31;10
ch:1:sboid:100191;100191;Télé-Leysin-Col des Mosses - La Lécherette SA;Télé-Leysin-Col des Mosses - La Lécherette SA;Télé-Leysin-Col des Mosses - La Lécherette SA;Télé-Leysin-Col des Mosses - La Lécherette SA;TLML;TLML;TLML;TLML;233;;1900-01-01;2099-12-31;10
ch:1:sboid:100194;100194;Chur-Dreibündenstein;Chur-Dreibündenstein;Chur-Dreibündenstein;Chur-Dreibündenstein;BCD;BCD;BCD;BCD;236;;1900-01-01;2099-12-31;10
ch:1:sboid:100195;100195;Reigoldswil-Wasserfallen;Reigoldswil-Wasserfallen;Reigoldswil-Wasserfallen;Reigoldswil-Wasserfallen;LRW;LRW;LRW;LRW;237;;1900-01-01;2099-12-31;10
ch:1:sboid:100197;100197;Niederhornbahn AG;Niederhornbahn AG;Niederhornbahn AG;Niederhornbahn AG;NHB-nhb;NHB-nhb;NHB-nhb;NHB-nhb;239;;1900-01-01;2099-12-31;10
ch:1:sboid:100198;100198;Sattel-Hochstuckli AG;Sattel-Hochstuckli AG;Sattel-Hochstuckli AG;Sattel-Hochstuckli AG;SHAG;SHAG;SHAG;SHAG;240;;1900-01-01;2099-12-31;10
ch:1:sboid:100202;100202;Gampel-Jeizinen;Gampel-Jeizinen;Gampel-Jeizinen;Gampel-Jeizinen;LGJ;LGJ;LGJ;LGJ;244;;1900-01-01;2099-12-31;10
ch:1:sboid:100203;100203;Remontées Mécaniques Crans-Montana-Aminona;Remontées Mécaniques Crans-Montana-Aminona;Remontées Mécaniques Crans-Montana-Aminona;Remontées Mécaniques Crans-Montana-Aminona;CMA;CMA;CMA;CMA;245;;1900-01-01;2099-12-31;10
ch:1:sboid:100205;100205;Curtinatsch-Piz Lagalb;Curtinatsch-Piz Lagalb;Curtinatsch-Piz Lagalb;Curtinatsch-Piz Lagalb;DIALA-lcl;DIALA-lcl;DIALA-lcl;DIALA-lcl;247;;1900-01-01;2099-12-31;12
ch:1:sboid:100207;100207;Surlej-Silvaplana-Corvatsch;Surlej-Silvaplana-Corvatsch;Surlej-Silvaplana-Corvatsch;Surlej-Silvaplana-Corvatsch;LSC;LSC;LSC;LSC;249;;1900-01-01;2099-12-31;10
ch:1:sboid:100208;100208;Dallenwil-Niederrickenbach;Dallenwil-Niederrickenbach;Dallenwil-Niederrickenbach;Dallenwil-Niederrickenbach;LDN;LDN;LDN;LDN;250;;1900-01-01;2099-12-31;10
ch:1:sboid:100210;100210;Lenzerheide Bergbahnen;Lenzerheide Bergbahnen;Lenzerheide Bergbahnen;Lenzerheide Bergbahnen;LHB;LHB;LHB;LHB;252;;1900-01-01;2099-12-31;10
ch:1:sboid:100211;100211;Hoher Kasten Drehrestaurant und Seilbahn AG;Hoher Kasten Drehrestaurant und Seilbahn AG;Hoher Kasten Drehrestaurant und Seilbahn AG;Hoher Kasten Drehrestaurant und Seilbahn AG;HKDS;HKDS;HKDS;HKDS;253;;1900-01-01;2099-12-31;10
ch:1:sboid:100212;100212;Dallenwil-Wirzweli;Dallenwil-Wirzweli;Dallenwil-Wirzweli;Dallenwil-Wirzweli;LDW;LDW;LDW;LDW;254;;1900-01-01;2099-12-31;10
ch:1:sboid:100213;100213;Jakobsbad-Kronberg;Jakobsbad-Kronberg;Jakobsbad-Kronberg;Jakobsbad-Kronberg;LJK;LJK;LJK;LJK;255;;1900-01-01;2099-12-31;10
ch:1:sboid:100214;100214;Stechelberg-Mürren-Schilthorn (lsms);Stechelberg-Mürren-Schilthorn (lsms);Stechelberg-Mürren-Schilthorn (lsms);Stechelberg-Mürren-Schilthorn (lsms);LSMS-lsms;LSMS-lsms;LSMS-lsms;LSMS-lsms;256;;1900-01-01;2099-12-31;10
ch:1:sboid:100215;100215;Bergbahnen Wildhaus AG;Bergbahnen Wildhaus AG;Bergbahnen Wildhaus AG;Bergbahnen Wildhaus AG;BBWAG;BBWAG;BBWAG;BBWAG;257;;1900-01-01;2099-12-31;10
ch:1:sboid:100216;100216;Funiculaire St-Luc-Chandolin;Funiculaire St-Luc-Chandolin;Funiculaire St-Luc-Chandolin;Funiculaire St-Luc-Chandolin;FLC;FLC;FLC;FLC;258;;1900-01-01;2099-12-31;10
ch:1:sboid:100219;100219;Gstaad 3000 AG;Gstaad 3000 AG;Gstaad 3000 AG;Gstaad 3000 AG;G3AG;G3AG;G3AG;G3AG;261;;1900-01-01;2099-12-31;10
ch:1:sboid:100221;100221;Fürgangen-Bellwald;Fürgangen-Bellwald;Fürgangen-Bellwald;Fürgangen-Bellwald;LFüB;LFüB;LFüB;LFüB;263;;1900-01-01;2099-12-31;10
ch:1:sboid:100222;100222;Erlenbach-Stockhorn;Erlenbach-Stockhorn;Erlenbach-Stockhorn;Erlenbach-Stockhorn;LESt;LESt;LESt;LESt;264;;1900-01-01;2099-12-31;10
ch:1:sboid:100223;100223;Maschgenkammbahnen Flumserberg;Maschgenkammbahnen Flumserberg;Maschgenkammbahnen Flumserberg;Maschgenkammbahnen Flumserberg;MBF;MBF;MBF;MBF;265;;1900-01-01;2099-12-31;10
ch:1:sboid:100101;100101;Aare Seeland mobil (ltb);Aare Seeland mobil (ltb);Aare Seeland mobil (ltb);Aare Seeland mobil (ltb);ASM-ltb;ASM-ltb;ASM-ltb;ASM-ltb;128;;1900-01-01;2099-12-31;10
ch:1:sboid:100102;100102;Ferrovia Monte Generoso;Ferrovia Monte Generoso;Ferrovia Monte Generoso;Ferrovia Monte Generoso;MG;MG;MG;MG;129;;1900-01-01;2099-12-31;10
ch:1:sboid:100273;100273;Valbianca SA Airolo;Valbianca SA Airolo;Valbianca SA Airolo;Valbianca SA Airolo;VBSA;VBSA;VBSA;VBSA;316;;1900-01-01;2099-12-31;10
ch:1:sboid:100280;100280;Gondelbahn Kandersteg-Oeschinensee;Gondelbahn Kandersteg-Oeschinensee;Gondelbahn Kandersteg-Oeschinensee;Gondelbahn Kandersteg-Oeschinensee;GKO;GKO;GKO;GKO;323;;1900-01-01;2099-12-31;10
ch:1:sboid:100225;100225;Pontresina-Alp Languard;Pontresina-Alp Languard;Pontresina-Alp Languard;Pontresina-Alp Languard;SPL;SPL;SPL;SPL;267;;1900-01-01;2099-12-31;12
ch:1:sboid:100226;100226;Luftseilbahn Mürren-Schilthorn;Luftseilbahn Mürren-Schilthorn;Luftseilbahn Mürren-Schilthorn;Luftseilbahn Mürren-Schilthorn;LSMS/MS;LSMS/MS;LSMS/MS;LSMS/MS;268;;1900-01-01;2099-12-31;10
ch:1:sboid:100227;100227;Fiesch-Eggishorn;Fiesch-Eggishorn;Fiesch-Eggishorn;Fiesch-Eggishorn;FE;FE;FE;FE;269;;1900-01-01;2099-12-31;10
ch:1:sboid:100228;100228;Luftseilbahn Schattdorf-Haldi;Luftseilbahn Schattdorf-Haldi;Luftseilbahn Schattdorf-Haldi;Luftseilbahn Schattdorf-Haldi;LSH;LSH;LSH;LSH;270;;1900-01-01;2099-12-31;10
ch:1:sboid:100230;100230;Grindelwald-Pfingstegg;Grindelwald-Pfingstegg;Grindelwald-Pfingstegg;Grindelwald-Pfingstegg;LGP;LGP;LGP;LGP;272;;1900-01-01;2099-12-31;12
ch:1:sboid:100231;100231;Marbach-Marbachegg;Marbach-Marbachegg;Marbach-Marbachegg;Marbach-Marbachegg;LMM;LMM;LMM;LMM;273;;1900-01-01;2099-12-31;12
ch:1:sboid:100232;100232;Blatten-Belalp;Blatten-Belalp;Blatten-Belalp;Blatten-Belalp;LBB;LBB;LBB;LBB;274;;1900-01-01;2099-12-31;10
ch:1:sboid:100233;100233;Weisse Arena Bergbahnen AG;Weisse Arena Bergbahnen AG;Weisse Arena Bergbahnen AG;Weisse Arena Bergbahnen AG;BFL;BFL;BFL;BFL;275;;1900-01-01;2099-12-31;10
ch:1:sboid:100234;100234;Rosswald Bahnen AG;Rosswald Bahnen AG;Rosswald Bahnen AG;Rosswald Bahnen AG;LRR;LRR;LRR;LRR;276;;1900-01-01;2099-12-31;10
ch:1:sboid:100235;100235;Téléphérique Dorénaz-Champex d'Alesse/Commune de Dorénaz;Téléphérique Dorénaz-Champex d'Alesse/Commune de Dorénaz;Téléphérique Dorénaz-Champex d'Alesse/Commune de Dorénaz;Téléphérique Dorénaz-Champex d'Alesse/Commune de Dorénaz;TDCA;TDCA;TDCA;TDCA;277;;1900-01-01;2099-12-31;10
ch:1:sboid:100238;100238;Stalden-Gspon;Stalden-Gspon;Stalden-Gspon;Stalden-Gspon;LSG;LSG;LSG;LSG;280;;1900-01-01;2099-12-31;10
ch:1:sboid:100304;100304;Seilbahn Ried Illgau;Seilbahn Ried Illgau;Seilbahn Ried Illgau;Seilbahn Ried Illgau;SRI;SRI;SRI;SRI;347;;1900-01-01;2099-12-31;10
ch:1:sboid:100305;100305;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;ITRT;ITRT;ITRT;ITRT;348;;1900-01-01;2099-12-31;45
ch:1:sboid:100307;100307;DB Kreis Konstanz;DB Kreis Konstanz;DB Kreis Konstanz;DB Kreis Konstanz;DB/Konsta;DB/Konsta;DB/Konsta;DB/Konsta;350;;1900-01-01;2099-12-31;95
ch:1:sboid:100281;100281;Sportbahnen Melchsee-Frutt (ssmb);Sportbahnen Melchsee-Frutt (ssmb);Sportbahnen Melchsee-Frutt (ssmb);Sportbahnen Melchsee-Frutt (ssmb);SMF-ssmb;SMF-ssmb;SMF-ssmb;SMF-ssmb;324;;1900-01-01;2099-12-31;10
ch:1:sboid:100286;100286;Bergbahnen Disentis;Bergbahnen Disentis;Bergbahnen Disentis;Bergbahnen Disentis;BBD;BBD;BBD;BBD;329;;1900-01-01;2099-12-31;10
ch:1:sboid:100287;100287;Télémorgins SA;Télémorgins SA;Télémorgins SA;Télémorgins SA;TM;TM;TM;TM;330;;1900-01-01;2099-12-31;10
ch:1:sboid:100289;100289;Raron-Eischoll;Raron-Eischoll;Raron-Eischoll;Raron-Eischoll;LRE;LRE;LRE;LRE;332;;1900-01-01;2099-12-31;10
ch:1:sboid:100291;100291;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;Bergbahnen Hoch-Ybrig AG;BHY-sost;BHY-sost;BHY-sost;BHY-sost;334;;1900-01-01;2099-12-31;12
ch:1:sboid:100293;100293;Sportbahnen Bergün;Sportbahnen Bergün;Sportbahnen Bergün;Sportbahnen Bergün;SBAD;SBAD;SBAD;SBAD;336;;1900-01-01;2099-12-31;50
ch:1:sboid:100294;100294;Remontées Mécaniques Grimentz-Zinal SA;Remontées Mécaniques Grimentz-Zinal SA;Remontées Mécaniques Grimentz-Zinal SA;Remontées Mécaniques Grimentz-Zinal SA;RMGZ;RMGZ;RMGZ;RMGZ;337;;1900-01-01;2099-12-31;10
ch:1:sboid:100299;100299;Pradaschier AG Top;Pradaschier AG Top;Pradaschier AG Top;Pradaschier AG Top;PAGT;PAGT;PAGT;PAGT;342;;1900-01-01;2099-12-31;10
ch:1:sboid:100509;100509;Trasporti Pubblici Città di Mendrisio;Trasporti Pubblici Città di Mendrisio;Trasporti Pubblici Città di Mendrisio;Trasporti Pubblici Città di Mendrisio;TPCM;TPCM;TPCM;TPCM;705;;1900-01-01;2017-05-09;30
ch:1:sboid:100519;100519;Autobus local de Bussigny-près-Lausanne;Autobus local de Bussigny-près-Lausanne;Autobus local de Bussigny-près-Lausanne;Autobus local de Bussigny-près-Lausanne;ALB;ALB;ALB;ALB;717;;1900-01-01;2017-05-09;30
ch:1:sboid:100343;100343;Iselle transito-Domodossola;Iselle transito-Domodossola;Iselle transito-Domodossola;Iselle transito-Domodossola;FS Domo;FS Domo;FS Domo;FS Domo;422;;1900-01-01;2099-12-31;95
ch:1:sboid:100344;100344;Pino transito-Luino;Pino transito-Luino;Pino transito-Luino;Pino transito-Luino;FS Luino;FS Luino;FS Luino;FS Luino;423;;1900-01-01;2099-12-31;95
ch:1:sboid:100345;100345;Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);SSIF;SSIF;SSIF;SSIF;424;;1900-01-01;2099-12-31;10
ch:1:sboid:100346;100346;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;FS Stresa;FS Stresa;FS Stresa;FS Stresa;425;;1900-01-01;2099-12-31;50
ch:1:sboid:100348;100348;Ausflugsverkehr Como;Ausflugsverkehr Como;Ausflugsverkehr Como;Ausflugsverkehr Como;FS Como;FS Como;FS Como;FS Como;427;;1900-01-01;2099-12-31;50
ch:1:sboid:100070;100070;Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);Matterhorn Gotthard Bahn (bvz);MGB-bvz;MGB-bvz;MGB-bvz;MGB-bvz;93;;1900-01-01;2099-12-31;10
ch:1:sboid:100079;100079;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;Brienz Rothorn Bahn AG;BRB;BRB;BRB;BRB;104;;1900-01-01;2099-12-31;10
ch:1:sboid:100080;100080;Braunwald-Standseilbahn;Braunwald-Standseilbahn;Braunwald-Standseilbahn;Braunwald-Standseilbahn;BRSB;BRSB;BRSB;BRSB;105;;1900-01-01;2099-12-31;10
ch:1:sboid:100081;100081;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;Städtische Verkehrsbetriebe Bern;SVB;SVB;SVB;SVB;106;;1900-01-01;2099-12-31;10
ch:1:sboid:100082;100082;Bürgenstock Bahn AG;Bürgenstock Bahn AG;Bürgenstock Bahn AG;Bürgenstock Bahn AG;BB;BB;BB;BB;107;;1900-01-01;2099-12-31;10
ch:1:sboid:100083;100083;Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);Davos Klosters Bergbahnen (dpb);DKB-dpb;DKB-dpb;DKB-dpb;DKB-dpb;109;;1900-01-01;2099-12-31;10
ch:1:sboid:100630;100630;Transports Urbains de Gland;Transports Urbains de Gland;Transports Urbains de Gland;Transports Urbains de Gland;TUG;TUG;TUG;TUG;831;;1900-01-01;2016-03-24;30
